ID,GRUPO,EMPRESA,SEGMENTO,CIDADE_UF,GPTW,STATUS_MAPEAMENTO,SITE_OFICIAL,LINKEDIN_EMPRESA,GESTOR_RH,CARGO_RH,LINKEDIN_GESTOR_RH,EMAIL_CONTATO,TELEFONE,PORTAL_VAGAS,OBSERVACOES
1,INDUSTRIA,Braskem S.A.,Petroquimica,Camacari/Salvador-BA,Ja foi GPTW,Tem relacionamento,https://www.braskem.com.br/,https://www.linkedin.com/company/braskem,Marcelo Arantes,VP de Pessoas & Organizacao,,Av. Antonio Carlos Magalhaes 3244 andar 20/21/22 Salvador BA,,https://www.braskem.com.br/carreira,Ja foi GPTW - tem relacionamento previo
2,INDUSTRIA,Acelen (Refinaria Mataripe),Refinaria de Petroleo,Camacari-BA,Nao,,https://www.acelen.com.br/,https://www.linkedin.com/company/acelen,Nao identificado (Lorena Tois Aoki - Coord. Desenv. Organizacional),Coordenadora Desenv. Organizacional,,curriculo@acelen.com.br,,https://acelen.jobs.recrut.ai/,Mubadala Capital - Refinaria Mataripe e a mesma empresa
3,INDUSTRIA,Suzano Papel e Celulose,Celulose e Papel,Camacari-BA,Nao,,https://www.suzano.com.br/,https://www.linkedin.com/company/suzano,Caroline Carpenedo,Diretora Executiva de Gente e Gestao,https://www.linkedin.com/in/caroline-carpenedo/,,,https://suzano.gupy.io/,VP-level reporte direto ao CEO
4,INDUSTRIA,Bracell Celulose,Celulose Especial,Camacari-BA,Nao,,https://www.bracell.com/,https://www.linkedin.com/company/bracell,Nao identificado,,,faleconoscoba@bracell.com,(71) 3634-0401,,Grupo RGE/Royal Golden Eagle
5,INDUSTRIA,Veracel Celulose,Celulose de Eucalipto,Eunapolis-BA,GPTW 7 anos consecutivos,,https://www.veracel.com.br/,https://www.linkedin.com/company/veracelcelulose,Cristiane Mendes de Mello,Gerente de Gente e Cuidado,,,,https://vemparaaveracel.gupy.io/,JV Suzano + Stora Enso - GPTW 7 anos
6,INDUSTRIA,Oxiteno Brasil (Indovinya/Indorama),Produtos Quimicos,Camacari-BA,Nao,,https://indovinya.indoramaventures.com/,https://www.linkedin.com/company/oxiteno,Juliana Muniz,Gerente de RH,,Rua Benzeno 1065 Polo Petroquimico Camacari,,https://indovinya.indoramaventures.com/about-indovinya/hr-careers/,Antiga Oxiteno agora Indovinya
7,INDUSTRIA,Huntsman Brasil,Quimica Especializada,Camacari-BA,Nao,,https://www.huntsman.com/,https://www.linkedin.com/company/huntsman-quimica-brasil,Nao identificado,,,ir@huntsman.com,,https://www.huntsman.com/contact,Multinacional americana
8,INDUSTRIA,Cibra/Cibrafertil,Fertilizantes,Camacari-BA,GPTW 2024/2025,,https://www.cibra.com/,https://www.linkedin.com/company/cibraoficial,Cristina Oliveira,Diretora de Gente e Sustentabilidade,,contato@cibra.com,(71) 2202-4200 / WhatsApp (71) 4042-0082,https://cibra.gupy.io/,GPTW desde 2019
9,INDUSTRIA,RHI Magnesita (ex-Magnesita Refratarios),Refratarios/Mineracao,Brumado-BA,Nao,,https://www.rhimagnesita.com/pt/,https://www.linkedin.com/company/rhi-magnesita,Claudio Morais,Diretor de People & Culture LATAM,,,,https://careers.rhimagnesita.com/?locale=pt_BR,Multinacional austro-brasileira
10,INDUSTRIA,Coelba (Neoenergia Distribuicao),Energia/Distribuicao,Salvador-BA,Nao,,https://www.neoenergia.com/web/bahia,https://www.linkedin.com/company/coelba,Regia Barbosa,Sup. Desenvolvimento Organizacional e Cultura,,,,https://www.neoenergia.com/en/management-team,Presente em 415 dos 417 municipios baianos
11,INDUSTRIA,Cervi Mineracao,Mineracao,Itabuna-BA,Nao,,Nao encontrado,Nao encontrado,Nao identificado,,,,,,Empresa com presenca digital limitada
12,INDUSTRIA,Alpha Co,Moda Fitness/Vestuario,Salvador-BA,Nao,Contato interno (amiga do Marketing),https://usealphaco.com.br/,Nao encontrado,Nao identificado,,,Central atendimento no site,,,Instagram @usealphaco 656K seguidores - Meta do RH ser GPTW esse ano
13,INDUSTRIA,Caffeine Army (SuperCoffee),Alimentos/Suplementos,Salvador-BA,Nao,,https://www.caffeinearmy.com.br/,https://www.linkedin.com/company/caffeinearmy,Nao identificado (Fundador: Bruno Army),,,contato@caffeinearmy.com,,,Rua Rubens Guelli 68 salas 205/206 Salvador
14,INDUSTRIA,Acai NoKilo,Franquia Alimentacao,Feira de Santana-BA,Nao,Conhecida Eleine (Elisangela) - contato iniciado,https://acainokilo.com.br/,https://www.linkedin.com/company/acai-nokilo,Nao identificado (CEO: Elizangela Siqueira),,,coordenacaomarketing@acainokilo.com.br,WhatsApp (75) 9.9184-7791,,+57 unidades em 5 estados
15,INDUSTRIA,FERBASA,Mineracao/Metalurgia (Ferroligas),Salvador/Pojuca-BA,Nao,,https://www.ferbasa.com.br/,https://www.linkedin.com/company/ferbasa,Nao identificado,,,recrutamentomina@ferbasa.com.br / imprensa@ferbasa.com.br,(71) 3404-3000,,Boulevard Side Empresarial 25 andar Caminho das Arvores Salvador
16,COMERCIO,Grupo Mateus,Varejo/Hipermercados,Salvador/Feira-BA (sede MA),Nao,,https://grupomateus.com.br/,https://br.linkedin.com/company/grupo-mateus,Regis Schroder Ramos,Diretor Executivo de RH,https://www.linkedin.com/in/regisschroderramos/,sac@grupomateus.com.br / ri@grupomateus.com.br,WhatsApp (98) 9202-0090,https://novomateus.jobs.recrut.ai/,3a maior varejista alimentar do Brasil - chegou a BA em 2025
17,COMERCIO,Lojas Guido,Varejo/Moveis,Salvador-BA (sede AL),Nao,,https://www.lojasguido.com.br/,https://br.linkedin.com/company/lojas-guido,Nao identificado,,,(82) 3217-6300,(82) 3217-6300 / (82) 98829-9167,https://lojasguido.gupy.io/,Empresa alagoana fundada 1958 - operacoes em BA
18,COMERCIO,Atakarejo Distribuidora,Distribuicao/Atacado,Salvador-BA,Nao,,https://atakarejo.com.br/,https://br.linkedin.com/company/atakarejo,Debora Abenhaim,Diretora de Gente e Gestao,https://www.linkedin.com/in/debora-abenhaim-5a36ba176/,fiscal@atakarejo.com.br,(71) 3460-8700,https://atakarejo.jobs.recrut.ai/,53 lojas BA/SE - adquirido Patria Investimentos 2023
19,COMERCIO,Drogaria Araujo,Farmacia/Drogaria,Belo Horizonte-MG (NAO BA),Nao,ATENCAO: empresa de MG,https://www.araujo.com.br/,https://br.linkedin.com/company/drogaria-araujo-s-a,Thais Alcantara,Gerente Executiva Gestao de Pessoas,,faleconosco@araujo.com.br,(31) 3270-5000,,ATENCAO: Empresa de MG nao da BA - verificar se nome esta correto
20,COMERCIO,Supermercados Tatu,Supermercados,Feira de Santana-BA,Nao,NAO LOCALIZADA,Nao encontrado,Nao encontrado,Nao identificado,,,,,,Empresa nao localizada - verificar nome correto
21,COMERCIO,Grupo Carrao,Comercio Geral,Salvador-BA,Nao,NAO LOCALIZADA,Nao encontrado,Nao encontrado,Nao identificado,,,,,,Empresa nao localizada - verificar nome/grafia
22,COMERCIO,Distribuidora Nordeste (Nordeste Atacado),Distribuicao Agricola,Vitoria da Conquista-BA,Nao,,https://nordesteatacado.com.br/,https://br.linkedin.com/company/nordeste-atacado,Nao identificado,,,neatacado@nordesteatacado.com.br,(77) 9212-0726,,Sede em V. Conquista (nao FSA) - 38 anos no Nordeste
23,COMERCIO,Ultrapar/Grupo Ultra,Distribuicao Combustiveis,Sao Paulo-SP (operacoes BA),Nao,,https://www.ultra.com.br/,https://www.linkedin.com/company/_ultra,Nao identificado (RH centralizado SP),,,ri@ultra.com.br,,https://grupoultra.gupy.io/,Conglomerado nacional (Ipiranga/Ultragaz) - RH corporativo SP
24,COMERCIO,Coopex Cooperativa,Cooperativa Agricola,Feira de Santana-BA,Nao,NAO LOCALIZADA em FSA,Nao encontrado,Nao encontrado,Nao identificado,,,,,,Cooperativa nao localizada em FSA - verificar nome
25,COMERCIO,REDEMIX Supermercados,Supermercados,Salvador-BA,Nao,Tem contato do RH,https://www.redemix.com.br/,https://br.linkedin.com/company/gruporedemix,Reginaldo Junior,Diretor de RH,https://www.linkedin.com/in/reginaldo-junior-66592026/,atendimento@gruporedemix.com.br,(71) 3360-2333,https://redemix.jobs.recrut.ai/,100% baiana - 20 lojas - 1.500 funcionarios
26,SERVICOS,UFBA - Universidade Federal da Bahia,Educacao Superior,Salvador-BA,Nao,,https://www.ufba.br,https://br.linkedin.com/school/ufba/,Jeilson Barreto Andrade,Pro-Reitor de Desenvolvimento de Pessoas (PRODEP),,prodep@ufba.br,(71) 3283-6425 / 3283-6418,,Marines Martins tambem atua como Coordenadora de Gestao de Pessoas
27,SERVICOS,Bahiana de Medicina (EBMSP),Educacao/Saude,Salvador-BA,GPTW 2024/2025 (6o ano),,https://www.bahiana.edu.br,https://br.linkedin.com/school/escolabahiana/,Allana Machado Costa,Gestora de Selecao e Desenvolvimento de Pessoas,,,Via site,,6o lugar ranking nacional GPTW 2025 - Louise Tango (Supervisora)
28,SERVICOS,Sabin Diagnostico (Grupo Sabin),Diagnostico Medico,Salvador-BA,GPTW 2024/2025 (21o ano),,https://sabin.com.br,https://www.linkedin.com/company/grupo-sabin,Marly Vidal,Diretora Executiva Administrativa e de Pessoas,,m***@sabin.com.br,,https://gruposabin.gupy.io/,Cogestores Salvador: Agnaluce Moreira e Herbert William - Selo RH Ouro ABRH-BA
29,SERVICOS,Hospital Portugues da Bahia,Saude/Hospitalar,Salvador-BA,Nao,,https://www.hportugues.com.br,https://br.linkedin.com/company/hospital-portuguesba,Kleydson Batista de Oliveira,Gerente de Governanca Corporativa,,recrutamento@hportugues.com.br / treinamento@hportugues.com.br,(71) 3203-5635,,+160 anos - +3.000 colaboradores - Sup. Adm: Marcelo Meireles Liguori
30,SERVICOS,Unimed Salvador/Bahia,Saude/Seguros,Salvador-BA,Nao,,https://unimedba.com.br,https://br.linkedin.com/company/unimednacional,Nao identificado (sistema cooperativo),,,,Tel (71) 3241-4001,,Sistema cooperativo descentralizado - contato direto recomendado
31,SERVICOS,Santa Casa da Bahia,Saude/Hospitalar,Salvador-BA,Nao,Tem relacionamento com RH,https://www.santacasaba.org.br,https://br.linkedin.com/company/santacasadabahia,Nao identificado (Gustavo Mettig ex-RH 2011-2018),,,rh@santacasaba.org.br,(71) 2203-9666,https://santacasaba.gupy.io/,Fundada 1549 - 5.500 colaboradores - tem relacionamento previo
32,SERVICOS,Grupo Evangelista (GEVAN),Transporte/Logistica,Salvador-BA,Nao,,Nao encontrado,Nao encontrado,Nao identificado,,,Instagram @grupo_gevan,,https://br.indeed.com/cmp/Grupo-Gevan,5.100 funcionarios - 35% frota onibus Salvador - presenca digital limitada
33,SERVICOS,Pro-Linhas Nordeste,Industria Textil,Feira de Santana-BA,Nao,,https://www.prolinhas.com.br,https://br.linkedin.com/company/pro-linhas-nordeste-ltda,Nao identificado,,,curriculo@prolinhas.com.br,,,Fundada 2012 - producao de insumos texteis - Gerente Industrial: Misael Ferreira
